"Column Name","Label"
"B15002_022MA","Annotation of Margin of Error!!Total:!!Female:!!5th and 6th grade"
"B15002_023E","Estimate!!Total:!!Female:!!7th and 8th grade"
"B15002_023EA","Annotation of Estimate!!Total:!!Female:!!7th and 8th grade"
"B15002_023M","Margin of Error!!Total:!!Female:!!7th and 8th grade"
"B15002_023MA","Annotation of Margin of Error!!Total:!!Female:!!7th and 8th grade"
"B15002_024E","Estimate!!Total:!!Female:!!9th grade"
"B15002_024EA","Annotation of Estimate!!Total:!!Female:!!9th grade"
"B15002_024M","Margin of Error!!Total:!!Female:!!9th grade"
"B15002_024MA","Annotation of Margin of Error!!Total:!!Female:!!9th grade"
"B15002_025E","Estimate!!Total:!!Female:!!10th grade"
"B15002_025M","Margin of Error!!Total:!!Female:!!10th grade"
"B15002_025MA","Annotation of Margin of Error!!Total:!!Female:!!10th grade"
"B15002_025EA","Annotation of Estimate!!Total:!!Female:!!10th grade"
"B15002_026E","Estimate!!Total:!!Female:!!11th grade"
"B15002_026M","Margin of Error!!Total:!!Female:!!11th grade"
"B15002_026MA","Annotation of Margin of Error!!Total:!!Female:!!11th grade"
"B15002_026EA","Annotation of Estimate!!Total:!!Female:!!11th grade"
"B15002_027E","Estimate!!Total:!!Female:!!12th grade, no diploma"
"B15002_027M","Margin of Error!!Total:!!Female:!!12th grade, no diploma"
"B15002_027MA","Annotation of Margin of Error!!Total:!!Female:!!12th grade, no diploma"
"B15002_027EA","Annotation of Estimate!!Total:!!Female:!!12th grade, no diploma"
"B15002_028E","Estimate!!Total:!!Female:!!High school graduate (includes equivalency)"
"B15002_028M","Margin of Error!!Total:!!Female:!!High school graduate (includes equivalency)"
"B15002_028MA","Annotation of Margin of Error!!Total:!!Female:!!High school graduate (includes equivalency)"
"B15002_028EA","Annotation of Estimate!!Total:!!Female:!!High school graduate (includes equivalency)"
"B15002_029E","Estimate!!Total:!!Female:!!Some college, less than 1 year"
"B15002_029M","Margin of Error!!Total:!!Female:!!Some college, less than 1 year"
"B15002_029MA","Annotation of Margin of Error!!Total:!!Female:!!Some college, less than 1 year"
"B15002_029EA","Annotation of Estimate!!Total:!!Female:!!Some college, less than 1 year"
"B15002_030E","Estimate!!Total:!!Female:!!Some college, 1 or more years, no degree"
"B15002_030M","Margin of Error!!Total:!!Female:!!Some college, 1 or more years, no degree"
"B15002_030MA","Annotation of Margin of Error!!Total:!!Female:!!Some college, 1 or more years, no degree"
"B15002_030EA","Annotation of Estimate!!Total:!!Female:!!Some college, 1 or more years, no degree"
"B15002_031E","Estimate!!Total:!!Female:!!Associate's degree"
"B15002_031EA","Annotation of Estimate!!Total:!!Female:!!Associate's degree"
"B15002_031M","Margin of Error!!Total:!!Female:!!Associate's degree"
"B15002_031MA","Annotation of Margin of Error!!Total:!!Female:!!Associate's degree"
"B15002_032E","Estimate!!Total:!!Female:!!Bachelor's degree"
"B15002_032EA","Annotation of Estimate!!Total:!!Female:!!Bachelor's degree"
"B15002_032M","Margin of Error!!Total:!!Female:!!Bachelor's degree"
"B15002_032MA","Annotation of Margin of Error!!Total:!!Female:!!Bachelor's degree"
"B15002_033E","Estimate!!Total:!!Female:!!Master's degree"
"B15002_033EA","Annotation of Estimate!!Total:!!Female:!!Master's degree"
"B15002_033M","Margin of Error!!Total:!!Female:!!Master's degree"
"B15002_033MA","Annotation of Margin of Error!!Total:!!Female:!!Master's degree"
"B15002_034E","Estimate!!Total:!!Female:!!Professional school degree"
"B15002_034EA","Annotation of Estimate!!Total:!!Female:!!Professional school degree"
"B15002_034M","Margin of Error!!Total:!!Female:!!Professional school degree"
"B15002_034MA","Annotation of Margin of Error!!Total:!!Female:!!Professional school degree"
"B15002_035E","Estimate!!Total:!!Female:!!Doctorate degree"
"B15002_035EA","Annotation of Estimate!!Total:!!Female:!!Doctorate degree"
"B15002_035M","Margin of Error!!Total:!!Female:!!Doctorate degree"
"B15002_035MA","Annotation of Margin of Error!!Total:!!Female:!!Doctorate degree"
